"feat","avg(empathy.empathy)","avg(empathy.distress)","avg(empathy.empathy_bin)","avg(empathy.distress_bin)"
"mini","1.5000000","2.1250000","0.0000","0.0000"
"minimal","5.3330000","4.0000000","1.0000","1.0000"
"minimize","4.2223333","3.1666667","0.6667","0.3333"
"minimized","3.6670000","4.8750000","0.0000","1.0000"
"minimum","4.6666667","5.0833333","0.3333","0.6667"
"mining","5.7501667","5.3750000","1.0000","1.0000"
"minions","3.3330000","5.6250000","0.0000","1.0000"
"minister","3.8333333","4.8333333","0.3333","1.0000"
"ministry","3.6670000","2.8750000","0.0000","0.0000"
"minneapolis","1.1670000","1.0000000","0.0000","0.0000"
"minnesota","2.8335000","2.8125000","0.5000","0.5000"
"minor","3.3611667","3.8541667","0.3333","0.6667"
"minorites","4.1670000","4.2500000","1.0000","1.0000"
"minorities","3.9524286","5.1428571","0.5714","0.8571"
"minority","4.4167500","4.1562500","0.7500","0.7500"
"minute","2.3890000","4.4166667","0.3333","0.6667"
"minutes","4.3750000","3.6562500","0.5000","0.5000"
"miracle","1.6670000","1.0000000","0.0000","0.0000"
"mis-handling","2.0000000","1.3750000","0.0000","0.0000"
"misanthropy","1.0000000","1.0000000","0.0000","0.0000"
"misbehavior","1.0000000","1.0000000","0.0000","0.0000"
"miscellaneous","4.8330000","4.8750000","1.0000","1.0000"
"mischief","4.0000000","2.0000000","1.0000","0.0000"
"miscommunication","4.0000000","6.2500000","1.0000","1.0000"
"misconduct","4.5000000","3.8750000","1.0000","0.0000"
"misdeeds","1.3330000","1.6250000","0.0000","0.0000"
"misdirection","1.3330000","1.6250000","0.0000","0.0000"
"miserable","2.7085000","3.1875000","0.2500","0.2500"
"misery","5.5000000","5.6250000","1.0000","1.0000"
"misfortune","2.6113333","2.3750000","0.3333","0.3333"
"misfortunes","5.1670000","6.8750000","1.0000","1.0000"
"misguided","1.0000000","1.0000000","0.0000","0.0000"
"mishap","1.8330000","1.3750000","0.0000","0.0000"
"misidentifies","2.6670000","2.6250000","0.0000","0.0000"
"misinformation","2.0000000","2.8125000","0.0000","0.5000"
"misleading","1.0000000","1.0000000","0.0000","0.0000"
"mismanaged","2.0835000","4.3125000","0.0000","0.5000"
"mismanagement","5.1670000","4.3750000","1.0000","1.0000"
"misogynist","1.8330000","5.6250000","0.0000","1.0000"
"misogynistic","1.0000000","3.9375000","0.0000","0.5000"
"misogyny","1.0000000","5.7500000","0.0000","1.0000"
"misplaced","3.8330000","4.3750000","0.0000","1.0000"
"miss","4.4445000","3.1875000","0.6667","0.3333"
"missed","4.2916250","4.1718750","0.5000","0.7500"
"missile","6.0000000","3.0000000","1.0000","0.0000"
"missiles","3.3330000","3.4375000","0.5000","0.5000"
"missing","4.1665714","4.0535714","0.7143","0.7143"
"mission","5.2915000","4.6875000","1.0000","0.7500"
"missionary","4.8330000","2.5000000","1.0000","0.0000"
"mississippi","5.0000000","5.3750000","1.0000","1.0000"
"missles","5.5000000","3.8750000","1.0000","0.0000"
"mistake","4.7221667","4.6458333","0.8333","0.6667"
"mistakenly","7.0000000","1.0000000","1.0000","0.0000"
"mistakes","5.2857143","4.2142857","0.8571","0.5714"
"mistaking","3.3330000","3.3750000","0.0000","0.0000"
"mistreated","2.0000000","1.3750000","0.0000","0.0000"
"mistreating","1.6670000","5.6250000","0.0000","1.0000"
"misunderstanding","1.3330000","1.6250000","0.0000","0.0000"
"mitigate","4.2500000","6.0625000","0.5000","1.0000"
"mix","4.0556667","4.5833333","0.6667","0.6667"
"mixed","3.6390000","3.9166667","0.5000","0.5000"
"mkuch","6.1670000","4.0000000","1.0000","1.0000"
"moat","4.3330000","4.0000000","1.0000","1.0000"
"mob","5.5000000","5.5000000","1.0000","1.0000"
"mock","5.0553333","3.5000000","0.6667","0.6667"
"mocking","2.1670000","2.2500000","0.0000","0.0000"
"mockingbird","4.1670000","4.6250000","1.0000","1.0000"
"mocks","4.5000000","2.0000000","1.0000","0.0000"
"model","3.5417500","2.6875000","0.7500","0.5000"
"modeling","1.0000000","1.0000000","0.0000","0.0000"
"models","2.7332000","1.4000000","0.4000","0.0000"
"moderate","4.5000000","4.7500000","1.0000","1.0000"
"moderately","1.6670000","2.1250000","0.0000","0.0000"
"modern","3.9166667","3.0000000","0.5000","0.1667"
"modern-day","5.5000000","5.6250000","1.0000","1.0000"
"modernize","5.4165000","2.9375000","1.0000","0.0000"
"modest","2.8330000","1.0000000","0.0000","0.0000"
"modified","5.0000000","4.5000000","1.0000","1.0000"
"modulated","5.1670000","5.3750000","1.0000","1.0000"
"mogherini","7.0000000","7.0000000","1.0000","1.0000"
"moldova","2.5000000","1.0000000","0.0000","0.0000"
"moldovan","3.0556667","2.0833333","0.3333","0.0000"
"molest","4.0000000","7.0000000","1.0000","1.0000"
"molested","3.1666667","4.4583333","0.6667","0.6667"
"molester","2.9443333","3.8750000","0.3333","0.3333"
"moly","4.3330000","4.6250000","1.0000","1.0000"
"mom","3.9073333","4.7916667","0.4444","0.6667"
"moment","3.5379545","3.6647727","0.4091","0.5455"
"moments","4.2082500","2.8125000","0.5000","0.2500"
"moms","1.7500000","3.8750000","0.0000","0.5000"
"momunmental","4.3330000","2.2500000","1.0000","0.0000"
"monarchy","3.0000000","3.2500000","0.5000","0.5000"
"monday","3.9170000","3.3125000","0.5000","0.0000"
"monetary","2.3335000","3.6250000","0.0000","0.5000"
"money","3.2921348","3.4719101","0.4270","0.4719"
"monger","3.6670000","6.1250000","0.0000","1.0000"
"mongering","2.0000000","4.9375000","0.0000","0.5000"
"monies","5.2500000","2.8750000","0.5000","0.5000"
"monitor","3.8890000","4.3333333","0.6667","0.6667"
"monitored","2.8890000","3.7916667","0.3333","0.3333"
"monk","6.0000000","1.0000000","1.0000","0.0000"
"monkey","1.5000000","1.4375000","0.0000","0.0000"
"monkeys","4.2500000","3.1250000","0.5000","0.0000"
"monsoon","4.1670000","4.8750000","1.0000","1.0000"
"monster","1.0000000","5.5625000","0.0000","1.0000"
"monsters","5.2223333","5.0000000","0.6667","0.6667"
"montana","6.8330000","6.7500000","1.0000","1.0000"
"month","3.6363636","4.2272727","0.4545","0.5455"
"months","3.8333125","4.1484375","0.6250","0.5625"
"monty","4.2780000","2.6666667","0.6667","0.3333"
"mood","3.3330000","3.7500000","0.0000","0.0000"
"moods","5.6670000","4.8750000","1.0000","1.0000"
"moody","4.5000000","5.0000000","1.0000","1.0000"
"moon","4.0000000","4.5625000","0.5000","0.5000"
"moore","3.8334000","3.3500000","0.6000","0.4000"
"morakot","1.0000000","1.0000000","0.0000","0.0000"
"moral","4.2037778","4.0972222","0.5556","0.5556"
"morality","2.5835000","5.1250000","0.0000","0.5000"
"morally","4.9002000","3.9500000","0.8000","0.4000"
"morals","3.7500000","4.0625000","0.5000","0.5000"
"moraly","6.0000000","6.2500000","1.0000","1.0000"
"moratorium","4.1670000","5.2500000","1.0000","1.0000"
"morbid","4.1670000","3.5000000","1.0000","0.0000"
"more","3.7913517","3.8261155","0.5144","0.5013"
"more's","5.3330000","5.0000000","1.0000","1.0000"
"more--we","7.0000000","6.5000000","1.0000","1.0000"
"morning","4.8166000","4.5500000","0.9000","0.7000"
"morocco","5.6670000","6.1250000","1.0000","1.0000"
"moron","2.9165000","1.7500000","0.0000","0.0000"
"morons","3.3335000","2.7500000","0.5000","0.5000"
"morphological","3.5000000","3.8750000","0.0000","0.0000"
"mortality","4.6670000","4.5000000","1.0000","1.0000"
"mortgage","1.1670000","2.2500000","0.0000","0.0000"
"moscow","3.6670000","2.8750000","0.0000","0.0000"
"mosques","5.1670000","4.5000000","1.0000","1.0000"
"mosquito","1.0000000","3.3125000","0.0000","0.5000"
"mosquito's","1.0000000","5.0000000","0.0000","1.0000"
"mosquito-spread","3.1670000","4.2500000","0.0000","1.0000"
"mosquitoes","1.0000000","1.6250000","0.0000","0.0000"
"most","3.6771532","3.6204955","0.4955","0.4685"
"mostly","3.6078824","3.3897059","0.4706","0.4706"
"mosul","4.8809286","5.4107143","0.8571","0.8571"
"mother","4.1625000","4.4125000","0.6500","0.6000"
"mother's","5.3330000","2.3750000","1.0000","0.0000"
"mother-to-be","3.5000000","1.0000000","0.0000","0.0000"
"mothers","3.8332857","3.6428571","0.5714","0.5714"
"motion","1.0000000","1.6250000","0.0000","0.0000"
"motionless","6.3330000","5.2500000","1.0000","1.0000"
"motivated","3.6113333","3.4166667","0.6667","0.3333"
"motivating","6.0000000","2.2500000","1.0000","0.0000"
"motivation","2.7500000","4.8750000","0.0000","1.0000"
"motivations","4.0000000","5.1250000","1.0000","1.0000"
"motive","3.4582500","3.2031250","0.3750","0.5000"
"motives","1.0000000","4.8750000","0.0000","1.0000"
"mountain","5.1665000","2.6250000","1.0000","0.5000"
"mountains","4.2500000","4.2812500","0.7500","0.2500"
"mourned","5.6665000","5.9375000","1.0000","1.0000"
"mourning","4.6670000","6.0000000","1.0000","1.0000"
"mouth","4.0832500","2.9062500","0.2500","0.0000"
"mouthed","1.0000000","7.0000000","0.0000","1.0000"
"mouthpiece","1.0000000","1.0000000","0.0000","0.0000"
"mouths","3.6670000","5.7500000","0.0000","1.0000"
"move","3.8686667","3.0303030","0.6061","0.3939"
"moved","3.1481111","3.4861111","0.4444","0.4444"
"movement","3.1332000","4.3500000","0.4000","0.4000"
"movements","5.1665000","6.3125000","1.0000","1.0000"
"movie","3.4167500","4.3125000","0.5000","0.5000"
"movies","2.7085000","2.8437500","0.2500","0.2500"
"moving","3.8691429","3.2767857","0.5714","0.4286"
"mozambican","5.5000000","5.5000000","1.0000","1.0000"
"mr","4.4721667","3.4166667","0.6667","0.5000"
"ms","5.7082500","5.5625000","1.0000","1.0000"
"mu","4.3330000","4.3750000","1.0000","1.0000"
"much","3.6035419","3.5214758","0.4537","0.4449"
"muchless","7.0000000","7.0000000","1.0000","1.0000"
"mud","3.9446667","4.3750000","0.6667","0.6667"
"mueller","1.0000000","1.2500000","0.0000","0.0000"
"mugged","2.3330000","1.6250000","0.0000","0.0000"
"multi-cultural","1.0000000","2.5000000","0.0000","0.0000"
"multiple","3.8214286","4.0089286","0.5000","0.5000"
"multiplied","1.3330000","1.6250000","0.0000","0.0000"
"multiplying","5.1670000","4.7500000","1.0000","1.0000"
"mum","4.1670000","4.2500000","1.0000","1.0000"
"murchison","2.5000000","1.3750000","0.0000","0.0000"
"murder","3.7055667","4.4875000","0.4667","0.6000"
"murder-suicide","2.8330000","3.1250000","0.0000","0.0000"
"murdered","3.1833000","4.5000000","0.5000","0.8000"
"murderer","2.2223333","2.6041667","0.1667","0.1667"
"murderers","2.2500000","5.3125000","0.0000","0.5000"
"murdering","3.5000000","3.5625000","0.0000","0.5000"
"murderous","1.0000000","3.5000000","0.0000","0.0000"
"murders","2.7082500","2.5312500","0.2500","0.2500"
"muscle","4.5000000","5.1250000","1.0000","1.0000"
"museum","7.0000000","1.8750000","1.0000","0.0000"
"museums","3.1670000","1.3750000","0.0000","0.0000"
"mush","7.0000000","7.0000000","1.0000","1.0000"
"mushed","6.5000000","6.2500000","1.0000","1.0000"
"mushtaq","4.2500000","4.8125000","0.5000","0.5000"
"music","4.1250625","2.4062500","0.5625","0.1875"
"musician","6.5000000","1.0000000","1.0000","0.0000"
"musicians","4.5000000","5.0000000","1.0000","1.0000"
"muslim","3.3650476","3.6785714","0.3810","0.5238"
"muslims","3.1223333","3.7083333","0.3333","0.5333"
"must","3.9863636","3.8556818","0.5818","0.5364"
"mustard","4.3335000","5.1250000","0.5000","1.0000"
"mutated","3.3330000","2.0000000","0.0000","0.0000"
"mutation","5.3330000","2.8125000","1.0000","0.5000"
"mutations","5.0000000","4.5000000","1.0000","1.0000"
"mutilate","4.0000000","3.0000000","1.0000","0.0000"
"mutual","5.6670000","5.0000000","1.0000","1.0000"
"mutually","2.5000000","4.6250000","0.0000","1.0000"
"my","3.8326318","3.7651674","0.5481","0.5146"
"myanmar","4.8335000","3.2500000","0.5000","0.5000"
"myanmarl","5.0000000","4.2500000","1.0000","1.0000"
"myself","4.0333000","3.3343750","0.5000","0.4000"
"mysterious","6.1670000","5.5000000","1.0000","1.0000"
"mystical","7.0000000","5.1250000","1.0000","1.0000"
"mystified","3.8330000","4.3750000","0.0000","1.0000"
"n","4.3334286","5.2678571","0.7143","1.0000"
"naegleria","5.5000000","3.7500000","1.0000","0.0000"
"nafta","1.0000000","2.0000000","0.0000","0.0000"
"nail","5.3330000","2.3750000","1.0000","0.0000"
"nails","2.6670000","1.0000000","0.0000","0.0000"
"naive","4.0000000","1.6250000","0.5000","0.0000"
"naked","1.0000000","2.0000000","0.0000","0.0000"
"name","4.3778667","3.8083333","0.5333","0.5333"
"named","3.8750000","4.0781250","0.5000","0.6250"
"names","4.2223333","3.7916667","0.6667","0.3333"
"nanjiani","5.8330000","5.7500000","1.0000","1.0000"
"narco-politician","3.5000000","5.0000000","0.0000","1.0000"
"narco-politicians","4.6670000","5.6250000","1.0000","1.0000"
"narrative","4.6665000","4.3125000","1.0000","1.0000"
"nasa","7.0000000","7.0000000","1.0000","1.0000"
"nastiness","4.1670000","3.7500000","1.0000","0.0000"
"nasty","2.8571429","2.5535714","0.2857","0.2857"
"nation","2.8055417","3.6041667","0.4167","0.4583"
"nation's","3.8335000","2.3750000","0.5000","0.0000"
"national","3.4000000","4.0166667","0.3333","0.6667"
"nations","4.5971667","4.2291667","0.8333","0.5000"
"nationwide","3.6670000","5.1250000","0.0000","1.0000"
"native","4.7352941","4.1323529","0.7059","0.5294"
"nato","1.1665000","3.2500000","0.0000","0.0000"
"natural","4.3783784","3.3614865","0.6216","0.4054"
"naturally","2.7500000","5.2500000","0.5000","1.0000"
"nature","3.6555667","3.2208333","0.4333","0.3667"
"naught","1.6670000","3.8750000","0.0000","0.0000"
"nauseating","3.4165000","3.0000000","0.5000","0.5000"
"naval","5.8330000","5.5000000","1.0000","1.0000"
"navy","2.3330000","2.3750000","0.0000","0.0000"
"nay","4.1670000","5.2500000","1.0000","1.0000"
"naysayers","3.7500000","2.1250000","0.5000","0.0000"
"nazi","2.6666667","4.3333333","0.3333","0.6667"
"naziism","6.0000000","6.0000000","1.0000","1.0000"
"nba","4.5000000","3.6250000","1.0000","0.0000"
"nca","3.8330000","4.2500000","0.0000","1.0000"
"nd","2.0000000","4.1250000","0.0000","1.0000"
"neale","5.5000000","5.6250000","1.0000","1.0000"
"near","3.7094103","4.2884615","0.4359","0.6154"
"nearby","3.6110000","3.3125000","0.5000","0.3333"
"nearly","4.7564615","4.5865385","0.7692","0.7692"
"necessarily","2.8810000","3.0000000","0.2857","0.4286"
"necessary","4.4487692","3.9711538","0.5385","0.4615"
"necessities","5.5000000","5.8750000","1.0000","1.0000"
"necessity","1.0000000","1.5000000","0.0000","0.0000"
"necklace","5.5000000","2.1250000","1.0000","0.0000"
"neckless","4.3330000","5.0000000","1.0000","1.0000"
"necks","5.4165000","4.7500000","1.0000","1.0000"
"necrotizing","5.5000000","3.7500000","1.0000","0.0000"
"need","3.9818914","4.0514706","0.5611","0.5520"
"needed","4.3508947","3.8684211","0.6316","0.5789"
"needing","6.3330000","3.7500000","1.0000","0.0000"
"needless","6.2223333","5.9166667","1.0000","1.0000"
"needlessly","4.7500000","5.3750000","0.5000","1.0000"
"needs","4.0517816","4.3017241","0.5287","0.6092"
"needy","6.4165000","4.6875000","1.0000","0.5000"
"negate","5.5000000","4.6250000","1.0000","1.0000"
"negated","2.1670000","2.1250000","0.0000","0.0000"
"negative","3.7192632","3.5000000","0.4737","0.3684"
"negatively","2.5668000","3.6250000","0.4000","0.6000"
"negatives","1.0000000","2.0000000","0.0000","0.0000"
"negelectful","5.5000000","6.6250000","1.0000","1.0000"
"neglect","2.5000000","5.1250000","0.0000","0.6667"
"neglience","3.8330000","4.8750000","0.0000","1.0000"
"negligence","4.3886667","3.4166667","0.6667","0.3333"
"negligent","5.3330000","6.6250000","1.0000","1.0000"
"negotiate","4.6670000","6.0000000","1.0000","1.0000"
"neighbor","4.9443333","3.8750000","1.0000","0.6667"
"neighborhood","3.9165000","2.0000000","0.5000","0.0000"
"neighborhoods","3.6667500","4.0312500","0.5000","0.7500"
"neighboring","3.5556667","3.3333333","0.6667","0.0000"
"neighbors","5.3330000","5.1250000","1.0000","1.0000"
"neighbourhood","3.3330000","4.0000000","0.0000","1.0000"
"neither","2.5000000","3.0357143","0.1429","0.4286"
"nembutal","3.5000000","1.5000000","0.0000","0.0000"
"neo","1.0000000","1.0000000","0.0000","0.0000"
"neo-liberal","6.3330000","6.7500000","1.0000","1.0000"
"neo-nazi","3.5000000","6.1250000","0.0000","1.0000"
"neocons","4.0000000","4.0000000","1.0000","1.0000"
"neough","5.7500000","5.0625000","1.0000","1.0000"
"nerve","3.5833333","4.4166667","0.5000","0.6667"
"nerve-wracking","2.0000000","2.0000000","0.0000","0.0000"
"nerves","5.3330000","2.3750000","1.0000","0.0000"
"nervous","3.0556667","3.6250000","0.3333","0.3333"
"nessicities","4.1670000","3.2500000","1.0000","0.0000"
"nest","1.1670000","4.0000000","0.0000","1.0000"
"netflix","5.5000000","5.8750000","1.0000","1.0000"
"nets","2.0000000","1.0000000","0.0000","0.0000"
"netwerk24","4.1670000","2.8750000","1.0000","0.0000"
"network","3.3886667","2.8333333","0.0000","0.3333"
"neutral","4.1670000","4.5000000","1.0000","1.0000"
"nevada","4.1110000","1.9583333","0.3333","0.0000"
"nevadians","3.3330000","3.6250000","0.0000","0.0000"
"never","3.7976855","3.6312893","0.4906","0.4591"
"never-ending","1.0000000","1.0000000","0.0000","0.0000"
"new","3.8733467","4.0150000","0.5733","0.5733"
"newborns","6.0000000","4.8750000","1.0000","1.0000"
"newer","4.3330000","4.3750000","1.0000","1.0000"
"newly","2.7500000","2.8125000","0.5000","0.5000"
"news","3.7777980","3.7563131","0.5152","0.5455"
"newspaper","3.3611667","4.2083333","0.3333","0.6667"
"newspapers","3.3330000","4.1250000","0.0000","1.0000"
"newsworthy","1.7500000","1.5000000","0.0000","0.0000"
"next","3.6709744","4.0096154","0.4615","0.4872"
"next-door","5.8330000","5.1250000","1.0000","1.0000"
"nice","3.4705882","2.9632353","0.4706","0.2941"
"nicholas","5.3330000","1.6250000","1.0000","0.0000"
"nicolas","5.8330000","3.7500000","1.0000","0.0000"
"niekerk","5.5000000","5.5000000","1.0000","1.0000"
"nigeria","5.6665000","5.7187500","1.0000","1.0000"
"nigeria's","4.5000000","3.8750000","1.0000","0.0000"
"nigerian","5.0830000","5.0000000","1.0000","1.0000"
"nigerians","5.2500000","5.5625000","1.0000","1.0000"
"night","4.6428571","4.2500000","0.6429","0.5714"
"nightclub","3.5000000","4.7500000","0.5000","1.0000"
"nightly","1.5000000","2.1250000","0.0000","0.0000"
"nightmare","3.6666667","3.7083333","0.6667","0.6667"
"nile","3.1670000","4.2500000","0.0000","1.0000"
"nine","1.0000000","4.0625000","0.0000","0.5000"
"nineteen","5.4170000","5.4375000","1.0000","1.0000"
"nineteen-year-old","1.0000000","2.2500000","0.0000","0.0000"
"nino","3.7500000","4.0625000","0.5000","0.5000"
"nipples","4.5000000","5.1250000","1.0000","1.0000"
"no","3.6818815","3.7667173","0.4954","0.5076"
"noah","6.0000000","5.8750000","1.0000","1.0000"
"noble","4.1670000","1.3750000","1.0000","0.0000"
"nobody","4.2916875","4.1562500","0.6250","0.6250"
"nodapl","3.5000000","3.3750000","0.0000","0.0000"
"noise","5.2776667","3.0833333","1.0000","0.3333"
"nominating","1.0000000","2.3750000","0.0000","0.0000"
"nomination","1.0000000","2.3750000","0.0000","0.0000"
"nominee","5.5000000","5.0000000","1.0000","1.0000"
"non","3.0000000","2.8333333","0.6667","0.3333"
"non-binding","5.8330000","5.5000000","1.0000","1.0000"
"non-criminals","1.0000000","2.6250000","0.0000","0.0000"
"non-human","7.0000000","7.0000000","1.0000","1.0000"
"non-lethal","5.0000000","4.5000000","1.0000","1.0000"
"non-profit","4.0556667","4.0000000","0.6667","0.6667"
"non-smoking","6.1670000","6.0000000","1.0000","1.0000"
"non-story","1.6670000","1.0000000","0.0000","0.0000"
"non-violent","1.0000000","1.0000000","0.0000","0.0000"
"noncancerous","6.5000000","1.6250000","1.0000","0.0000"
"none","3.0417500","3.6718750","0.3750","0.5000"
"nonetheless","2.1670000","2.8750000","0.0000","0.0000"
"nonissue","5.0000000","5.0000000","1.0000","1.0000"
"nonprofit","4.1670000","4.0000000","1.0000","1.0000"
"nonprofits","4.0000000","3.0000000","1.0000","0.0000"
"nonsense","1.7778333","2.5312500","0.0833","0.1667"
"nonsensical","1.0000000","4.0000000","0.0000","1.0000"
"nooooo","6.1670000","6.7500000","1.0000","1.0000"
"nope","2.3335000","3.4375000","0.0000","0.5000"
"nor","4.2917500","4.5312500","0.5000","0.7500"
"norm","2.8333333","3.8750000","0.3333","0.3333"
"normal","3.2778000","3.6916667","0.4000","0.5333"
"normalize","1.0000000","1.0000000","0.0000","0.0000"
"normally","3.5000000","4.2500000","0.7500","0.7500"
"nort","6.1670000","6.0000000","1.0000","1.0000"
"north","3.2255294","3.6617647","0.4706","0.5294"
"northeast","4.7776667","4.6666667","1.0000","0.6667"
"northern","5.3330000","5.5000000","1.0000","1.0000"
"northwest","3.6670000","2.8750000","0.0000","0.0000"
"nose","4.0000000","5.0000000","1.0000","1.0000"
"noses","1.0000000","1.0000000","0.0000","0.0000"
"nosey","5.6670000","4.2500000","1.0000","1.0000"
"nostrils","5.5000000","3.7500000","1.0000","0.0000"
"not","3.6250703","3.7259684","0.4792","0.4878"
"note","4.8055000","5.0208333","0.8333","0.8333"
"noted","1.1670000","5.3750000","0.0000","1.0000"
"notes","5.5553333","4.2500000","1.0000","0.6667"
"noteworthy","1.5000000","1.0000000","0.0000","0.0000"
"nothing","3.2060968","3.2741935","0.3978","0.3763"
"notice","2.7381429","3.3571429","0.2857","0.2857"
"noticeable","5.0000000","4.5000000","1.0000","1.0000"
"noticed","4.0000000","4.2638889","0.5556","0.5556"
"notifiing","7.0000000","7.0000000","1.0000","1.0000"
"noting","4.5000000","4.0000000","1.0000","1.0000"
"notion","4.0000000","4.0000000","1.0000","1.0000"
"notions","1.1670000","3.3750000","0.0000","0.0000"
"notoriety","3.3330000","2.0000000","0.0000","0.0000"
"nov","5.4446667","5.6250000","1.0000","1.0000"
"november","3.2225000","4.2708333","0.3333","0.8333"
"now","3.7455317","3.9213415","0.4927","0.5268"
"nowadays","2.7498750","3.3437500","0.2500","0.2500"
"nowhere","5.5415000","4.6875000","1.0000","0.7500"
"noxious","4.5000000","5.1250000","1.0000","1.0000"
"nra","4.6670000","3.6250000","1.0000","0.0000"
"nuclear","1.9165000","3.8437500","0.2500","0.5000"
"nude","5.2776667","2.8750000","1.0000","0.3333"
"nudes","3.3330000","5.6250000","0.0000","1.0000"
"nuisance","3.5000000","1.1250000","0.0000","0.0000"
"numb","2.2000000","1.0000000","0.2000","0.0000"
"number","4.4382593","4.1111111","0.6296","0.6296"
"numbered","1.6670000","1.6250000","0.0000","0.0000"
"numbers","3.0138333","3.8854167","0.3333","0.4167"
"numerous","3.8334000","3.9250000","0.4000","0.5000"
"nurse","2.0000000","6.1250000","0.0000","1.0000"
"nurseries","3.1670000","4.0000000","0.0000","1.0000"
"nurses","3.5000000","4.1250000","0.0000","1.0000"
"nurturing","4.5000000","5.7500000","1.0000","1.0000"
"nut","1.0000000","2.0000000","0.0000","0.0000"
"nutrients","6.0000000","5.3750000","1.0000","1.0000"
"nutrition","5.5835000","4.6875000","1.0000","0.5000"
"nuts","3.5000000","6.1250000","0.0000","1.0000"
"nyc","5.0000000","4.1250000","1.0000","1.0000"
"nyok","6.1670000","5.5000000","1.0000","1.0000"
"o","4.9443333","4.5416667","1.0000","0.6667"
"o'dell","3.6670000","4.2500000","0.0000","1.0000"
"oak","3.2780000","4.0000000","0.3333","0.6667"
"obama","3.3432353","4.3455882","0.4118","0.4706"
"obama's","3.3335000","4.1250000","0.5000","0.5000"
"obamacare","3.1670000","3.1250000","0.0000","0.0000"
"obese","4.2917500","3.5625000","0.5000","0.5000"
"obesity","3.4668000","3.1250000","0.4000","0.2000"
"obey","2.0000000","2.0000000","0.0000","0.0000"
"obeying","3.0000000","5.5000000","0.0000","1.0000"
"object","4.5835000","5.5625000","1.0000","1.0000"
"objective","4.0000000","5.6250000","1.0000","1.0000"
"obligated","1.0000000","2.6250000","0.0000","0.0000"
"obligating","1.0000000","1.5000000","0.0000","0.0000"
"obligation","2.8330000","6.1250000","0.0000","1.0000"
"obligations","4.5000000","5.1250000","1.0000","1.0000"
"oblivious","3.5000000","5.0000000","0.0000","1.0000"
"observant","3.3330000","2.5000000","0.0000","0.0000"
"observed","1.8330000","3.2500000","0.0000","0.0000"
"obsession","1.0000000","7.0000000","0.0000","1.0000"
"obstacles","4.6670000","3.0000000","0.5000","0.5000"
"obsurb","3.5000000","3.6250000","0.0000","0.0000"
"obtain","3.1666667","3.5416667","0.3333","0.3333"
"obtained","5.0000000","6.0000000","1.0000","1.0000"
"obtaining","3.1670000","5.3750000","0.0000","1.0000"
"obvious","3.9001000","4.5000000","0.5000","0.6000"
"obviously","3.3421053","4.0986842","0.4211","0.5789"
"obviousness","4.1665000","2.7500000","0.5000","0.5000"
"occasion","1.8330000","1.0000000","0.0000","0.0000"
"occasional","2.0000000","1.3750000","0.0000","0.0000"
"occasionally","2.0000000","2.5000000","0.0000","0.0000"
"occasions","3.8330000","4.8750000","0.0000","1.0000"
"occupation","5.5000000","6.0000000","1.0000","1.0000"
"occupying","4.0000000","5.0000000","1.0000","1.0000"
"occur","2.1110000","2.7916667","0.1667","0.1667"
"occured","5.0000000","2.0000000","0.5000","0.0000"
"occurence","1.0000000","1.0000000","0.0000","0.0000"
"occurred","4.8666000","3.9125000","0.8000","0.5000"
"occurrence","3.6666000","3.0000000","0.6000","0.4000"
"occurring","3.2000000","4.5750000","0.2000","0.6000"
"occurs","4.4997500","2.6562500","0.5000","0.2500"
"ocean","3.0835000","2.4375000","0.5000","0.0000"
"oceans","5.4582500","5.2812500","1.0000","1.0000"
"oct","6.2500000","6.0625000","1.0000","1.0000"
"october","5.8330000","5.7500000","1.0000","1.0000"
"odd","4.3095714","2.6428571","0.7143","0.2857"
"odds","5.0417500","3.0625000","0.7500","0.5000"
"of","3.7503032","3.7774735","0.5004","0.4975"
"off","3.6803425","3.6369863","0.4521","0.4795"
"offend","1.0000000","1.0000000","0.0000","0.0000"
"offended","3.6666667","3.4583333","0.3333","0.3333"
"offense","5.5000000","1.9375000","1.0000","0.0000"
"offer","4.8166000","4.3500000","0.9000","0.7000"
"offered","1.8330000","1.0000000","0.0000","0.0000"
"offers","4.8335000","4.8125000","1.0000","1.0000"
"office","3.0934000","3.7300000","0.3600","0.4800"
"officer","3.9420000","4.1250000","0.4783","0.6087"
"officers","3.6467600","4.5300000","0.4400","0.7200"
"official","3.4165000","3.0000000","0.5000","0.5000"
"officials","3.8589231","4.4326923","0.5385","0.6923"
"offsprings","1.0000000","1.2500000","0.0000","0.0000"
"ofstuff","2.1670000","1.8750000","0.0000","0.0000"
"often","3.5366800","3.3250000","0.4400","0.3800"
"oh","4.0832500","4.2187500","0.6000","0.6000"
"ohio","1.0000000","3.5000000","0.0000","0.0000"
"oil","3.7134400","4.5750000","0.5200","0.7200"
"oily","3.0000000","4.5000000","0.0000","1.0000"
"ok","2.8572143","3.9910714","0.2143","0.5000"
"okay","3.2129444","3.5694444","0.3889","0.5556"
"oklahoma","3.9443333","3.6250000","0.3333","0.3333"
"ol","3.5000000","1.0000000","0.0000","0.0000"
"old","4.1823585","3.9504717","0.6038","0.5283"
"old-world","5.6670000","3.0000000","1.0000","0.0000"
"olden","1.0000000","1.0000000","0.0000","0.0000"
"older","4.0222000","3.7583333","0.6000","0.5333"
